id,type,text1,text2,text3,notes
aBadIdea2_buffalo_EVIL,SHIP,"A derived class, based on the Buffalo freighter.

The Sector is violent and unpredictable, and conflicts often flare up over the smallest resource or perceived slight. In such situations military-grade ships are sometimes not available quickly enough. Thus, resourceful engineers turn to hull modifications in order to be able to meet the demand for war materiel.

The base hull of this destroyer is a standard Buffalo-class freighter, however due to the scope of the hull conversion, the BUFFalo is considered a separate class. The result is a fighting ship which can hold its own and fight back hard, especially if properly screened from strikes and heavier hulls. The unorthodox weapons configuration often leads to unique fleet formations, and hull modifications often mean that no two BUFFalos are quite the same.

The tactics employed by a BUFFalo captain will vary as much as his hull configuration, but rarely involve standing toe-to-toe with anything heavier than a frigate due to the lack of a shield generator and energy weapon emplacements. The combat plans usually involve a one hit wonder stratagem that never works on the same enemy twice, which is perfectly fine with the crew of the BUFFalo.",,,
aBadIdea2_HyperHyperion,SHIP,"A supremely advanced design, fragile but with a superb power generator and the ability to mount more ordnance than any other mainstream frigate. Extremely expensive for its size.

Due to the perfectly modular design of the hull, power couplings and weapon slots, modifications of this ship class are not taxing on in flux shunts, plasma relays or the power core. In short, hull modifications are extremely easy to complete. It is often the case that a Hyper Hyperion-class is finely tuned with a cornucopia of mutually boosting hull modifications that make it even deadlier that a variant that is simply bristling with weapons. Naturally, such special modifications are not for the engineering novice and the uninitiated may just blow their entire fortune on a concept that seems good on paper, but is in fact useless in the battlespace. That is why there are many engineers that shun this modification-heavy approach and opt for a more weapon focused platform.

The end results of either approach usually affirm the apprehensive attitude Sector stellators have toward this ship.",,,
aBadIdea2_tpchound,SHIP,"An old but durable hull class that lacks a shield generator, this frigate is sometimes used to ferry cargo instead of for combat duty. A lucky or gifted officer could make his fortune given the chance to captain one.",,,
aBadIdea2_phase_lobster,SHIP,"The Doom-class was only the beginning. This true pinnacle of phasing technology is known to some spacers as 'the Lobster from Hell' or 'Killer Crustacean'. Not many have seen it, but those that have can attest to its true, horrific beauty. The Acanthacaris-class phase cruiser can be considered the next step in Volturn advancement, with its hull being designed as a symbol of the peoples' strength and trust in the Diktat.  Ludd have mercy on our souls.",,,
aBadIdea2_elttuhs,SHIP,Pew Pew Pew,,,
aBadIdea2_renilRATS,SHIP,PEW PEW PEW,,,
aBadIdea2_houoh,SHIP,"An old but durable hull class that lacks a shield generator, this frigate is sometimes used to ferry cargo instead of for combat duty. A lucky or gifted officer could make his fortune given the chance to captain one.",,,
aBadIdea2_dnund,SHIP,"An old but durable hull class that lacks a shield generator, this frigate is sometimes used to ferry cargo instead of for combat duty. A lucky or gifted officer could make his fortune given the chance to captain one.",,,
aBadIdea2_daehremmah,SHIP,".seitilibapac citsillab sti sa llew sa elttab ni rewop gniyats sti rof detcepser si daehremmaH eht ,niamoD eht fo ega nedlog eht morf reyortsed enildim A",,,
aBadIdea2_hammerhead_curved,SHIP,"A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities.",,,
aBadIdea2_long_atlas,SHIP,"The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.

The Atlas-class ships are large space-borne cargo platforms with an FTL drive and a few defensive systems. Hundreds of containers can be latched on to the hull and carried with ease by this behemoth. 

Typically used to efficiently resupply entire outposts, the Atlas is ill suited to the small and fast trade runs that are the mainstay of commerce in the sector. Their slow speed and large size always tempt uninvited guests, ranging from curious gawkers come to see the hulking colossus, to scavenging pirates aiming to disable a container's magneto-gravitic fastener, to Pather fanatics bent on destroying it all. Nonetheless, the Hegemony makes wide use of them, especially to offload biomass from farming worlds on a seasonal basis. For this purpose, the Hegemony assembles large Atlas convoys; these are protected by military cruisers that ensure that the lifeline of Hegemony citizens is kept safe.

The captaincy of an Atlas is a rare punishment for the able, an uneven mixture of soul-numbing boredom and abject terror, being the results of normal trade runs and pirate attacks, respectively.",,,
aBadIdea2_long_drover,SHIP,"The Drover is a hull designed by the Cruiser-school-dominated Domain Naval Procurement Committee to provide a strategically versatile (though tactically limited) fighter platform with low logistical overhead. The fighter complement of the Drover is unmatched for its size. Command of a Drover is considered something of a test of character for junior officers: Will they use fearsome alpha-strike potential to seize victory in a sudden attack or hold back and use its threat to curtail aggressive moves by the opposition?

The contract for design of the Drover was won by Orion Shipyards, the traditional Armada ship-builder, in an effort to recover lost market share from the newer naval producers. The result was the 'flying landing strip' maligned by Domain officers as a command more fitting for a logistics bureaucrat than a fighting ship-captain. Complaints in the lower ranks were used by the old Capital-school faction to send the Drover back to committee, citing insufficient firepower for the ship class to meet standard guidelines (which did not account for the strike potential of new classes of fighters). Set up to take the fall for a massive overspend, the committee simply ordered an enormous number of simple missile hardpoints installed- this met the firepower requirements handily and allowed the Drover programme to proceed with only minor alteration.",,,
aBadIdea2_midline_odyssey,SHIP,"The asymmetric, spheroid design belies the power of this battlecruiser. The base hull presents a tactical setup that favors energy weapons and mobility. Carrier capabilities further augment its tactical options. ",,,
aBadIdea2_bananahammer,SHIP,"A midline destroyer from the golden age of the Domain, the Hammerhead is respected for its staying power in battle as well as its ballistic capabilities.",,,
aBadIdea2_Drovest,SHIP,"A Supercarrier fitted with a specialised forge that can somehow produce low-grade conquest shells with drone systems installed. Unfortunately, corrupted code has rendered almost all the weapon mounts nonfunctional.",,,
aBadIdea2_atlas_tanker,SHIP,"What

Whomst the FUCK did this?

Why the fuck is this a thing that exists?

",,,
aBadIdea2_terminator_conquest,SHIP,"What a bizarre concept, the shell of a Conquest fitted with drone systems, but missing almost all of its weaponry",,,
aBadIdea2_pilum_fighter,SHIP,"It was a surprisingly simple task to take the Pilum LRM and retrofit an engine and pilot controls, allowing even longer-range engagements for the missile. Unfortunately, the lack of attachment to a ship's generators means the autoforges are non-functional, and the crew must return between volleys.",,,
aBadIdea2_pilum_dreadnought,SHIP,"Ea is the most powerful Noble Phantasm contained in the Gate of Babylon and the pinnacle of all those used by Servants. Unlike all of his other nameless weapons that were able to be passed on to other wielders over the course of history, it is a sword only Gilgamesh possesses, a completely unique existence that can only be possessed by him, that is suited only for a ruler's use and makes him transcendent.",,,
aBadIdea2_pilum_capital,SHIP,"Whoever figured out how to upscale the humble Pilum LRM was so preoccupied with whether or not they could, they didn't stop to think if they should stop making it bigger.",,,
aBadIdea2_pilum_frigate,SHIP,"Left without access to ship blueprints, a desperate group of engineers managed to resize the humble Pilum LRM into a ship-sized artillery platform to make their escape.",,,
aBadIdea2_pilum_destroyer,SHIP,The engineers who figured out how to resize weapon blueprints to use as makeshift ships didn't stop at frigate-sized abominations. They had to see how far they could successfully stretch the limits of the design.,,,
aBadIdea2_pilum_cruiser,SHIP,"(Un)fortunately, things like aerodynamics don't matter in space, so creating a ridiculously oversized missile launcher and claiming it as a ship turns out to be fairly trivial once you've hacked the blueprints.",,,
,,,,,
aBadIdea2_planet_fat_dab,CUSTOM,The Philpocalypse is largely held in check by the vast quantities of weed growing on this planet.,,,
aBadIdea2_planet_shrinkage,CUSTOM,"The salvaged core of Opis was captured in orbit around Vis, and its metals are harvested to fund Phillip Andrada.",,,
aBadIdea2_philpocalypse,FACTION,"Phillip Andrada was the harbinger of the Philpocalypse, a recursive entity that has gained a foothold around the black hole, Vis",,,
aBadIdea2_planet_meatball,CUSTOM,Mama Mia!,,,
aBadIdea2_planet_fartcloud,CUSTOM,"Vampires beware. Actually, anyone with a functioning nose beware.",,,
